Id,Label,sex,nationality,occupation,year_of_birth,military_civilian,year_of_selection,total_number_of_missions
303,"Walz, Carl E.",male,U.S.,MSP,1955,military,1990,4
304,"Searfoss, Richard A.",male,U.S.,pilot,1956,military,1990,3
305,"McArthur, William S., Jr.",male,U.S.,MSP,1951,military,1990,4
306,"Wolf, David A.",male,U.S.,MSP,1956,civilian,1990,4
307,"Fettman, Martin Joseph",male,U.S.,PSP,1956,civilian,1992,1
308,Yuri Vladimirovich Usachyov,male,U.S.S.R/Russia,flight engineer,1957,military,1989,4
309,"Sega, Ronald M.",male,U.S.,MSP,1952,civilian,1990,2
310,"Jones, Thomas D.",male,U.S.,MSP,1955,civilian,1990,4
311,"Malenchenko, Yuri",male,U.S.S.R/Russia,commander,1961,military,1987,6
312,"Musabayev, Talgat",male,U.S.S.R/Russia,flight engineer,1951,military,1990,3
313,"Halsell, James D., Jr.",male,U.S.,pilot,1956,military,1990,5
314,"Chiao, Leroy",male,U.S.,MSP,1960,civilian,1990,4
315,"Thomas, Donald A.",male,U.S.,MSP,1955,civilian,1990,4
316,"Mukai, Chiaki",female,Japan,PSP,1952,civilian,1985,2
317,"Linenger, Jerry M.",male,U.S.,MSP,1955,military,1992,2
318,"Wilcutt, Terrence W.",male,U.S.,pilot,1949,military,1990,4
319,"Smith, Steven L.",male,U.S.,MSP,1958,civilian,1992,4
320,"Kondakova, Yelena V.",female,U.S.S.R/Russia,flight engineer,1957,civilian,1989,2
321,"Tanner, Joseph R.",male,U.S.,MSP,1950,civilian,1992,4
322,"Clervoy, Jean-Franï¿½ï¿",male,France,MSP,1958,military,1985,3
323,"Parazynski, Scott E.",male,U.S.,MSP,1961,civilian,1992,5
324,"Collins, Eileen M.",female,U.S.,pilot,1956,military,1990,4
325,"Gregory, William G.",male,U.S.,pilot,1957,military,1990,1
326,"Grunsfeld, John M.",male,U.S.,MSP,1958,civilian,1992,5
327,"Lawrence, Wendy B.",female,U.S.,MSP,1959,military,1992,4
328,"Dezhurov, Vladimir N.",male,U.S.S.R/Russia,commander,1962,military,1987,2
329,"Budarin, Nikolai",male,U.S.S.R/Russia,flight engineer,1953,civilian,1989,3
330,Kregel Kevin R.,male,U.S.,pilot,1956,civilian,1992,4
331,"Weber, Mary E.",female,U.S.,MSP,1962,civilian,1992,2
332,"Gidzenko, Yuri",male,U.S.S.R/Russia,commander,1962,military,1987,3
333,"Reiter, Thomas",male,Germany,flight engineer,1958,military,1992,2
334,"Gernhardt, Michael L.",male,U.S.,MSP,1956,civilian,1992,4
335,"Rominger, Kent V.",male,U.S.,pilot,1956,military,1992,5
336,"Coleman, Catherine G.",female,U.S.,MSP,1960,military,1992,3
337,"Lopez-Alegria, Michael E.",male,U.S.,MSP,1958,military,1992,4
338,"Leslie, Fred Weldon",male,U.S.,PSP,1951,civilian,1994,1
339,"Sacco, Albert Jr.",male,U.S.,PSP,1949,civilian,1994,1
340,Chris Hadfield,male,Canada,pilot,1959,military,1992,3
341,"Jett, Brent W.",male,U.S.,pilot,1958,military,1992,4
342,"Scott, Winston E.",male,U.S.,MSP,1950,military,1992,2
343,"Wakata, Koichi",male,Japan,MSP,1963,civilian,1992,4
344,"Barry, Daniel T.",male,U.S.,MSP,1953,civilian,1992,3
345,"Onufrienko, Yuri",male,U.S.S.R/Russia,commander,1961,military,1989,2
346,"Horowitz, Scott J.",male,U.S.,pilot,1957,military,1992,4
347,"Cheli, Maurizio",male,Italy,MSP,1959,military,1992,1
348,"Guidoni, Umberto",male,Italy,MSP,1954,civilian,1996,2
349,"Thomas, Andrew S. W.",male,Australia,MSP,1951,civilian,1992,4
350,"Linnehan, Richard M.",male,U.S.,MSP,1957,civilian,1992,4
351,"Brady, Charles E., Jr.",male,U.S.,MSP,1951,military,1992,1
352,"Favier, Jean-Jacques",male,France,PSP,1949,civilian,1985,1
353,Robert Thirsk,male,Canada,MSP,1953,civilian,1983,2
354,"Korzun, Valery",male,U.S.S.R/Russia,commander,1953,military,1987,2
355,"Andrï¿½ï¿½-Deshays, Claudie (Haigne",female,France,MSP,1957,civilian,1985,2
356,"Lazutkin, Aleksandr",male,U.S.S.R/Russia,flight engineer,1957,civilian,1992,1
357,"Ewald, Reinhold",male,Germany,MSP,1956,civilian,1990,1
